TFs_Dorothea	condition	score	p_value
IRF1	CRC_ACCC_18	-1.6810106163802365	0.13
IRF1	CRC_ACCC_19	2.9126434073096443	0.002
IRF1	CRC_ACCC_20	-2.4694309980074314	0.023
IRF1	CRC_ACCC_21	3.5515036076698445	0.001
IRF1	CRC_ACCC_22	2.3040145521058304	0.015
IRF1	CRC_ACCC_23	-2.805780703902718	0.005
IRF1	CRC_ACCC_24	0.8150813745602469	0.618
IRF1	CRC_ACCC_25	1.0788941411762543	0.262
IRF1	CRC_ACCC_26	-0.41228935872683753	0.747
IRF1	CRC_ACCC_27	-4.419770670510861	0.001
IRF1	CRC_ACCC_28	0.25193899401436154	0.839
IRF1	CRC_ACCC_29	-2.4874588883755595	0.012
IRF2	CRC_ACCC_01	0.06572896012187054	0.674
IRF2	CRC_ACCC_02	1.6043787875249633	0.061
IRF2	CRC_ACCC_03	-0.8409377521493778	0.391
IRF2	CRC_ACCC_04	-1.0031967802883832	0.232
IRF2	CRC_ACCC_05	-4.510025153291213	0.001
IRF2	CRC_ACCC_06	-4.022837786480193	0.001
IRF2	CRC_ACCC_07	-1.5211856649501232	0.379
IRF2	CRC_ACCC_08	-1.0962230034271807	0.648
IRF2	CRC_ACCC_09	6.273245106013192	0.001
IRF2	CRC_ACCC_11	2.0975390238024025	0.339
IRF2	CRC_ACCC_12	-1.9516296389175862	0.031
IRF2	CRC_ACCC_13	-4.587401304538397	0.001
IRF2	CRC_ACCC_14	-0.5044828403914653	0.835
IRF2	CRC_ACCC_15	-4.122734087150781	0.001
IRF2	CRC_ACCC_16	-0.49578433943878214	0.938
IRF2	CRC_ACCC_17	0.4631557753057239	0.643
IRF2	CRC_ACCC_18	-1.6415120064040518	0.214
IRF2	CRC_ACCC_19	2.4389119076491537	0.019
IRF2	CRC_ACCC_20	-0.23558383959977627	0.951
IRF2	CRC_ACCC_21	2.357696997286722	0.071
IRF2	CRC_ACCC_22	3.0862463631965404	0.001
IRF2	CRC_ACCC_23	0.5467118687588758	0.698
IRF2	CRC_ACCC_24	-0.7386739127160922	0.257
IRF2	CRC_ACCC_25	-0.051409025864926745	0.94
IRF2	CRC_ACCC_26	1.1498483600412648	0.152
IRF2	CRC_ACCC_27	-3.661010010535413	0.001
IRF2	CRC_ACCC_28	1.4248418033933044	0.224
IRF2	CRC_ACCC_29	0.07737281106319571	0.891
MYC	CRC_ACCC_01	7.645527308803987	0.001
MYC	CRC_ACCC_02	-4.338224664448019	0.007
MYC	CRC_ACCC_03	-0.10959282000791566	0.918
MYC	CRC_ACCC_04	-1.6161816778573461	0.064
MYC	CRC_ACCC_05	-2.7657270467776622	0.002
MYC	CRC_ACCC_06	-1.5637692067583546	0.097
MYC	CRC_ACCC_07	-0.9555234175907915	0.984
MYC	CRC_ACCC_08	-5.6380664609670745	0.001
MYC	CRC_ACCC_09	5.461214038371343	0.001
MYC	CRC_ACCC_11	4.969656539019664	0.043
MYC	CRC_ACCC_12	-2.653796499496751	0.004
MYC	CRC_ACCC_13	-2.881076600301693	0.002
MYC	CRC_ACCC_14	-7.517606877326791	0.001
MYC	CRC_ACCC_15	3.6974795807602043	0.001
MYC	CRC_ACCC_16	-4.459351056733476	0.002
MYC	CRC_ACCC_17	7.65145525835118	0.001
MYC	CRC_ACCC_18	5.414676202756792	0.001
MYC	CRC_ACCC_19	2.3479086587376403	0.008
MYC	CRC_ACCC_20	2.3879112218154646	0.01
MYC	CRC_ACCC_21	0.8514951973967543	0.98
MYC	CRC_ACCC_22	-9.247590672774333	0.001
MYC	CRC_ACCC_23	4.515827364895193	0.001
MYC	CRC_ACCC_24	7.926799219155111	0.001
MYC	CRC_ACCC_25	-1.8822327599169537	0.161
MYC	CRC_ACCC_26	-5.062771493402709	0.001
MYC	CRC_ACCC_27	-0.2720866638082822	0.393
MYC	CRC_ACCC_28	0.7194850108872475	0.713
MYC	CRC_ACCC_29	-4.485246937183462	0.001
NFE2L1	CRC_ACCC_01	-2.195898405703651	0.021
NFE2L1	CRC_ACCC_02	1.1602531452062848	0.152
NFE2L1	CRC_ACCC_03	-1.6054478794390243	0.129
NFE2L1	CRC_ACCC_04	-0.39517438876427236	0.648
NFE2L1	CRC_ACCC_05	-2.6610478928031847	0.007
NFE2L1	CRC_ACCC_06	-3.4010131075785197	0.001
NFE2L1	CRC_ACCC_07	-1.6630229472005547	0.202
NFE2L1	CRC_ACCC_08	-0.31120737228997414	0.993
NFE2L1	CRC_ACCC_09	-3.188100591339195	0.001
NFE2L1	CRC_ACCC_11	-0.23229188599199435	0.518
NFE2L1	CRC_ACCC_12	-2.8268279942702375	0.002
NFE2L1	CRC_ACCC_13	-2.7051184664279515	0.002
NFE2L1	CRC_ACCC_14	1.0724894443885498	0.176
NFE2L1	CRC_ACCC_15	-4.578809957054299	0.001
NFE2L1	CRC_ACCC_16	0.12179962412258598	0.725
NFE2L1	CRC_ACCC_17	-1.598479170075168	0.125
NFE2L1	CRC_ACCC_18	0.06605630807047538	0.78
NFE2L1	CRC_ACCC_19	1.09162658251396	0.224
NFE2L1	CRC_ACCC_20	-0.18914163296992764	0.991
NFE2L1	CRC_ACCC_21	-1.483391314190952	0.078
NFE2L1	CRC_ACCC_22	1.20814369347224	0.156
NFE2L1	CRC_ACCC_23	-0.46916885624503524	0.647
NFE2L1	CRC_ACCC_24	-1.6513553010248447	0.06
NFE2L1	CRC_ACCC_25	-0.04936089442334639	0.971
NFE2L1	CRC_ACCC_26	5.179637767456113	0.001
NFE2L1	CRC_ACCC_27	3.918311476701867	0.002
NFE2L1	CRC_ACCC_28	-0.7281588362699861	0.427
NFE2L1	CRC_ACCC_29	5.905642512266848	0.001
PRDM14	CRC_ACCC_01	-2.220188321602228	0.011
PRDM14	CRC_ACCC_02	1.963486820356733	0.022
PRDM14	CRC_ACCC_03	-5.338968391182601	0.001
PRDM14	CRC_ACCC_04	-4.6831208224041605	0.001
PRDM14	CRC_ACCC_05	0.3765341121108805	0.916
PRDM14	CRC_ACCC_06	0.006422347387881264	0.898
PRDM14	CRC_ACCC_07	2.4082423253031493	0.009
PRDM14	CRC_ACCC_08	-2.98435039145893	0.071
PRDM14	CRC_ACCC_09	-3.4352172354362644	0.001
PRDM14	CRC_ACCC_11	-1.0628631872563508	0.144
PRDM14	CRC_ACCC_12	-3.1251905825799393	0.001
PRDM14	CRC_ACCC_13	4.069088369551324	0.036
PRDM14	CRC_ACCC_14	4.015424919572606	0.001
PRDM14	CRC_ACCC_15	-1.2612342325935915	0.563
PRDM14	CRC_ACCC_16	5.145537118032974	0.001
PRDM14	CRC_ACCC_17	-2.5039353636545583	0.012
PRDM14	CRC_ACCC_18	-4.194762268804547	0.002
PRDM14	CRC_ACCC_19	1.3110929572202523	0.135
PRDM14	CRC_ACCC_20	0.7217810058868954	0.277
PRDM14	CRC_ACCC_21	-2.9067303467753716	0.001
PRDM14	CRC_ACCC_22	0.08748055871856024	0.513
PRDM14	CRC_ACCC_23	4.21868853702904	0.001
PRDM14	CRC_ACCC_24	1.4497121821516732	0.784
PRDM14	CRC_ACCC_25	3.41306671548956	0.002
PRDM14	CRC_ACCC_26	3.51173466560611	0.001
PRDM14	CRC_ACCC_27	-0.4477508967841319	0.334
PRDM14	CRC_ACCC_28	1.7039502117325436	0.17
PRDM14	CRC_ACCC_29	1.7709245233967177	0.059
RUNX2	CRC_ACCC_01	-3.735435626306925	0.001
RUNX2	CRC_ACCC_02	5.374003126983154	0.001
RUNX2	CRC_ACCC_03	0.3446566798764969	0.683
RUNX2	CRC_ACCC_04	0.39445260524687387	0.776
RUNX2	CRC_ACCC_05	-0.40271812334639234	0.6
RUNX2	CRC_ACCC_06	-0.7620130460294054	0.425
RUNX2	CRC_ACCC_07	-0.4089792767684941	0.966
RUNX2	CRC_ACCC_08	-1.1854903122654274	0.464
RUNX2	CRC_ACCC_09	-2.7486786744500504	0.003
RUNX2	CRC_ACCC_11	-2.4659034299662665	0.003
RUNX2	CRC_ACCC_12	-3.288049807948979	0.001
RUNX2	CRC_ACCC_13	-1.1575703925490441	0.131
RUNX2	CRC_ACCC_14	3.1959957893013	0.001
RUNX2	CRC_ACCC_15	-4.047363075286656	0.001
RUNX2	CRC_ACCC_16	1.4388590887004067	0.089
RUNX2	CRC_ACCC_17	-2.728341191237256	0.004
RUNX2	CRC_ACCC_18	-2.420369355710957	0.046
RUNX2	CRC_ACCC_19	1.2062157310701223	0.192
RUNX2	CRC_ACCC_20	-0.7712850673231989	0.647
RUNX2	CRC_ACCC_21	-1.2430413282362227	0.131
RUNX2	CRC_ACCC_22	1.4225620346011003	0.089
RUNX2	CRC_ACCC_23	1.152850467255404	0.266
RUNX2	CRC_ACCC_24	-1.6166391464079248	0.058
RUNX2	CRC_ACCC_25	6.15340517547169	0.001
RUNX2	CRC_ACCC_26	4.097677029181764	0.001
RUNX2	CRC_ACCC_27	-0.4979590909056603	0.394
RUNX2	CRC_ACCC_28	-0.08882635829720521	0.813
RUNX2	CRC_ACCC_29	2.071693394030097	0.036
SPI1	CRC_ACCC_01	-7.71354967131791	0.001
SPI1	CRC_ACCC_02	10.3299283700145	0.001
SPI1	CRC_ACCC_03	1.0706919137301516	0.308
SPI1	CRC_ACCC_04	-1.9646162812780361	0.031
SPI1	CRC_ACCC_05	-1.304216037330266	0.155
SPI1	CRC_ACCC_06	0.5746446694721865	0.618
SPI1	CRC_ACCC_07	3.0527439871018283	0.001
SPI1	CRC_ACCC_08	-2.770664778405381	0.057
SPI1	CRC_ACCC_09	5.100313805839334	0.001
SPI1	CRC_ACCC_11	-0.7234476913017132	0.238
SPI1	CRC_ACCC_12	0.6818285720279843	0.747
SPI1	CRC_ACCC_13	-2.797344274888994	0.004
SPI1	CRC_ACCC_14	4.7039780249796355	0.001
SPI1	CRC_ACCC_15	0.49773983123878324	0.422
SPI1	CRC_ACCC_16	6.934467517673563	0.001
SPI1	CRC_ACCC_17	-1.0313202545089708	0.337
SPI1	CRC_ACCC_18	-4.694308376030453	0.001
SPI1	CRC_ACCC_19	1.1474278152829391	0.248
SPI1	CRC_ACCC_20	-4.3091033008865764	0.001
SPI1	CRC_ACCC_21	0.813581903526581	0.666
SPI1	CRC_ACCC_22	1.1941266528937067	0.12
SPI1	CRC_ACCC_23	-0.7202045260209403	0.428
SPI1	CRC_ACCC_24	3.359450117701619	0.019
SPI1	CRC_ACCC_25	8.31888544783692	0.001
SPI1	CRC_ACCC_26	3.0630567857649016	0.001
SPI1	CRC_ACCC_27	-8.549898293721355	0.001
SPI1	CRC_ACCC_28	-2.4054086831663315	0.009
SPI1	CRC_ACCC_29	-4.4426681075986805	0.001
STAT2	CRC_ACCC_01	1.0502243705386336	0.515
STAT2	CRC_ACCC_02	2.230253461644736	0.022
STAT2	CRC_ACCC_03	-2.3108993028121843	0.016
STAT2	CRC_ACCC_04	-4.003243651826395	0.001
STAT2	CRC_ACCC_05	-5.880312986526719	0.001
STAT2	CRC_ACCC_06	-5.717130679694268	0.001
STAT2	CRC_ACCC_07	-1.4767153255461358	0.293
STAT2	CRC_ACCC_08	-1.5783059778914519	0.237
STAT2	CRC_ACCC_09	13.494481123922323	0.001
STAT2	CRC_ACCC_11	2.150218800527955	0.132
STAT2	CRC_ACCC_12	-1.8354843569932895	0.042
STAT2	CRC_ACCC_13	-5.161535803525828	0.001
STAT2	CRC_ACCC_14	-2.417882401836792	0.095
STAT2	CRC_ACCC_15	-2.61993071782771	0.016
STAT2	CRC_ACCC_16	-0.028682219153165385	0.761
STAT2	CRC_ACCC_17	4.850177138575296	0.001
STAT2	CRC_ACCC_18	-3.541226655017208	0.001
STAT2	CRC_ACCC_19	4.93224424596444	0.001
STAT2	CRC_ACCC_20	-1.5925765073218152	0.2
STAT2	CRC_ACCC_21	6.488482450976928	0.001
STAT2	CRC_ACCC_22	0.7253654425080186	0.325
STAT2	CRC_ACCC_23	0.7667706902423777	0.439
STAT2	CRC_ACCC_24	0.30589983200559545	0.92
STAT2	CRC_ACCC_25	-2.8457765096504772	0.006
STAT2	CRC_ACCC_26	-1.7869381927271764	0.114
STAT2	CRC_ACCC_27	-4.448924659189196	0.001
STAT2	CRC_ACCC_28	5.4189448588724565	0.001
STAT2	CRC_ACCC_29	-2.7733424554777786	0.003
TCF4	CRC_ACCC_01	-0.9892319016005016	0.191
TCF4	CRC_ACCC_02	0.5579424166901639	0.349
TCF4	CRC_ACCC_03	-0.4184339929301305	0.687
TCF4	CRC_ACCC_04	2.224282028986897	0.044
TCF4	CRC_ACCC_05	0.6084863731069221	0.685
TCF4	CRC_ACCC_06	-1.1209369860877623	0.22
TCF4	CRC_ACCC_07	-2.0089107383783533	0.151
TCF4	CRC_ACCC_08	2.071104403244117	0.02
TCF4	CRC_ACCC_09	-5.298862570771014	0.001
TCF4	CRC_ACCC_11	-0.14505192637119024	0.518
TCF4	CRC_ACCC_12	-1.9220542834502778	0.035
TCF4	CRC_ACCC_13	-0.6140172358337885	0.29
TCF4	CRC_ACCC_14	2.9784274779196545	0.004
TCF4	CRC_ACCC_15	-3.832715928845136	0.002
TCF4	CRC_ACCC_16	-2.228314769481996	0.072
TCF4	CRC_ACCC_17	-2.8928765343644933	0.005
TCF4	CRC_ACCC_18	0.37777207383463773	0.468
TCF4	CRC_ACCC_19	1.1710938599509502	0.208
TCF4	CRC_ACCC_20	1.0058197688493757	0.205
TCF4	CRC_ACCC_21	-0.6865323901214633	0.308
TCF4	CRC_ACCC_22	3.558696309352074	0.001
TCF4	CRC_ACCC_23	1.2887792476551647	0.199
TCF4	CRC_ACCC_24	-1.9933532648883303	0.03
TCF4	CRC_ACCC_25	1.6291417567732884	0.089
TCF4	CRC_ACCC_26	1.5092851373431941	0.086
TCF4	CRC_ACCC_27	1.582990699447723	0.364
TCF4	CRC_ACCC_28	0.5211893519629798	0.705
TCF4	CRC_ACCC_29	0.40828310647521104	0.637
TP53	CRC_ACCC_01	-2.58421245085277	0.004
TP53	CRC_ACCC_02	2.018236934801921	0.019
TP53	CRC_ACCC_03	-0.5679765185384951	0.571
TP53	CRC_ACCC_04	-2.3297395664059213	0.016
TP53	CRC_ACCC_05	-2.1081115088074855	0.027
TP53	CRC_ACCC_06	-2.5911352895274398	0.009
TP53	CRC_ACCC_07	-0.5121281185553702	0.974
TP53	CRC_ACCC_08	0.21013247590661144	0.526
TP53	CRC_ACCC_09	4.41696669720335	0.001
TP53	CRC_ACCC_11	-1.356183239468929	0.088
TP53	CRC_ACCC_12	0.09127533029822968	0.806
TP53	CRC_ACCC_13	0.6650750038223205	0.963
TP53	CRC_ACCC_14	-0.215765351875981	0.723
TP53	CRC_ACCC_15	0.36831943398685235	0.512
TP53	CRC_ACCC_16	0.1752704315825813	0.619
TP53	CRC_ACCC_17	3.177712776319371	0.001
TP53	CRC_ACCC_18	-1.9174472174832466	0.136
TP53	CRC_ACCC_19	1.0087738463552693	0.277
TP53	CRC_ACCC_20	-1.9100986012350434	0.108
TP53	CRC_ACCC_21	1.3547950676257836	0.318
TP53	CRC_ACCC_22	1.2399375921021702	0.127
TP53	CRC_ACCC_23	-0.008206110111399715	0.958
TP53	CRC_ACCC_24	1.3426211043373892	0.501
TP53	CRC_ACCC_25	3.45195359984547	0.001
TP53	CRC_ACCC_26	-0.2011431519708992	0.946
TP53	CRC_ACCC_27	-3.1142099101148943	0.001
TP53	CRC_ACCC_28	-0.6042809271079361	0.447
TP53	CRC_ACCC_29	-0.7099474790986672	0.477
