PROGENY_pathways	NES_MSI_vs_MSS_L_MSS
Androgen	-1.3899944596132314
EGFR	8.259674608730986
Estrogen	0.5834096666750869
Hypoxia	2.087790007917176
JAK.STAT	13.55242037601415
MAPK	6.039489983492012
NFkB	5.3087396123063195
p53	3.508338844350855
PI3K	1.3267228894274097
TGFb	-4.019467112634091
TNFa	4.052598108174309
Trail	0.007647796277109913
VEGF	2.6445441501347773
WNT	0.587895943477486
