PROGENY_pathways	CRC_ACCC_01	CRC_ACCC_02	CRC_ACCC_03	CRC_ACCC_04	CRC_ACCC_05	CRC_ACCC_06	CRC_ACCC_07	CRC_ACCC_08	CRC_ACCC_09	CRC_ACCC_11	CRC_ACCC_12	CRC_ACCC_13	CRC_ACCC_14	CRC_ACCC_15	CRC_ACCC_16	CRC_ACCC_17	CRC_ACCC_18	CRC_ACCC_19	CRC_ACCC_20	CRC_ACCC_21	CRC_ACCC_22	CRC_ACCC_23	CRC_ACCC_24	CRC_ACCC_25	CRC_ACCC_26	CRC_ACCC_27	CRC_ACCC_28	CRC_ACCC_29
EGFR	1.8802551175251478	-0.5810839446433678	-1.4164558811145014	-3.8600707234484632	-2.196641379989643	-0.263312964090882	1.200114799739352	-0.7735878700096009	6.126628073111258	1.5781949654779823	-2.1338513890828534	0.0017488413515199042	-1.8884630649923515	3.8823082774534665	-0.7552248810215711	7.961235112260094	1.9635511594818396	-1.914463173262094	-0.5654820822000868	-1.8290885243075536	-4.510894679988318	5.464967125054755	5.576468805458065	2.9584712931037807	-2.231421431187461	-4.284602804092835	0.36175592394251965	-5.833077377615692
Hypoxia	1.6015879674583526	2.247429866715288	8.524397675966465	-0.9904966732634123	-3.5276737022041926	-3.6475121377591	-2.0248220809465054	1.773924451815518	-2.2210344328502614	6.946085109076508	-4.3135619767785744	-3.7668147103361154	-0.37125511370921066	-2.0028642024488574	-5.802716076684422	3.608798082639846	-4.270366271730028	-1.936435946334598	-2.530650045161512	-2.440218277214726	1.4856172487874149	2.91714703372457	4.981319298058999	2.258048580954238	-0.23990723596336777	0.8515060057261934	-3.2839240543405546	-0.8569768658175821
JAK.STAT	0.7902361657736012	4.719605251432649	-1.3888959581390596	-6.539532111747677	-9.960759099779242	-8.016830378594596	-2.2850498951747933	-2.6842892767851376	19.469374803666934	0.43234283613094027	-2.815576496068762	-7.2523182735614204	-0.7938123968511115	-4.131112841463192	2.2370132574295374	7.779399425086784	-7.106858324574172	8.396022112269373	-5.012258983997414	9.576980657693428	1.707970538720398	-0.33330739437063706	0.9206638494351295	-2.0346088075492466	-0.42342538313641565	-7.357555548543599	3.33867650534239	-3.3036120448336197
MAPK	1.8238939069607178	-0.44777746935159324	0.5488446303288871	-0.1206372976004299	-0.37478111966600547	0.7429065309770542	-0.48252536530223866	-1.276592438150546	5.680363750145414	1.6277503890952651	-3.918639347280556	-1.5502231911355746	-1.408662477221276	-0.6231673060147318	-3.273976336303744	8.49605496354425	3.7798482741760036	1.7577366296235344	-0.869422768059825	-4.150819269179631	-3.98124554001517	6.346262490025991	4.831020943218616	2.6156954140544335	-3.169049841276259	-2.3817950730308777	-0.8222913632472924	-5.774109417123857
NFkB	-5.8200450144328935	5.0853773427380995	8.869296674966623	-0.42149060056413123	-1.996409972212741	-0.45283858643804226	0.48757726149808395	-3.6655462253348894	4.563798152778332	4.068537492475725	-1.077714341995841	-4.684979127436349	1.456114503111671	0.42617755655607986	1.6451030649244875	4.789682536537283	-0.3676618398203726	3.3346881142915223	-4.178017172701783	-0.3910762351165974	-0.5115724934320914	2.150742640873167	6.908721906963153	4.101653283610871	-2.394000496036877	-9.578515910923945	1.4809802840829334	-6.656329802962207
p53	-3.259969439210234	-0.21921503859857588	-2.419559817572015	-0.9940979046855883	-1.5156713369910357	-1.0534327569421071	-1.8899994305524774	2.062849340777668	4.0092139078249955	-1.2978409125602735	0.8773499261760059	2.590951141873346	1.0982962567850092	0.813380711364339	-1.12315527090104	2.275338418306707	-1.4422921252467418	-1.8547264566222732	-3.06600125622722	0.7945904252010021	2.2098790532587507	-2.3411325234659253	0.27812737237720314	2.226050207774776	0.3525924458464262	-1.7496394709241885	-1.5032692900392144	2.311789929525366
TGFb	-2.9087500770380714	8.239459307557219	-1.2827441108063853	-2.664049187091693	-0.8802994901271651	-0.5629757225401835	-0.29580863084581355	-1.250624064888285	-3.7258290806793934	-4.632289775325133	-3.900497117611114	1.9407761939369161	5.563126022165737	-3.2344018404264596	4.474684378470886	-4.320444757764605	-3.773004879192015	0.424615898485757	-1.7766533465915284	-1.4752078236939001	0.025590413540790363	0.8657881141840912	0.2957332951249694	8.787132822082349	3.849372319515987	2.5008936669042092	-0.9178553806932213	1.2131858104010376
