ESTIMATE_Scores	CRC_ACCC_01	CRC_ACCC_02	CRC_ACCC_03	CRC_ACCC_04	CRC_ACCC_05	CRC_ACCC_06	CRC_ACCC_07	CRC_ACCC_08	CRC_ACCC_09	CRC_ACCC_11	CRC_ACCC_12	CRC_ACCC_13	CRC_ACCC_14	CRC_ACCC_15	CRC_ACCC_16	CRC_ACCC_17	CRC_ACCC_18	CRC_ACCC_19	CRC_ACCC_20	CRC_ACCC_21	CRC_ACCC_22	CRC_ACCC_23	CRC_ACCC_24	CRC_ACCC_25	CRC_ACCC_26	CRC_ACCC_27	CRC_ACCC_28	CRC_ACCC_29
StromalScore	-561.0152447148536	2268.895669568846	589.9135630876648	135.23005721061367	375.8690061247403	574.3873816533094	789.3239293818731	-131.890211812335	418.0686390687789	-481.21157727190473	-179.34277974605644	118.76522902097668	1679.8825290597038	88.14392733151224	1056.4368570170368	-17.8241893925264	-131.68339064626616	392.7413532196903	151.2459483232359	390.64470672428786	419.6825499071945	485.7021353434	415.6505019105789	1942.923932097261	1590.9317294533282	-228.46838872564572	-3.6541159393374936	992.8212768956786
ImmuneScore	504.5136078033107	2777.224898121888	1574.4080050221044	1325.867756050449	1460.3226832510018	1598.2377765795368	1895.6341284580503	1184.4755552259626	2644.4292077221653	1701.9286747718108	1961.0069044281645	1584.339164087221	1962.6797032376373	1733.1167932742471	2339.2244790838295	1667.200992969261	884.6368606825746	1841.7911237917488	898.0406782598881	2020.2283691802331	2324.894563612919	1318.663477941569	1850.747365828578	2203.607534093391	1820.2745483467706	87.31470629277435	1345.0287324638093	203.414220106216
ESTIMATEScore	-56.501636911542846	5046.120567690734	2164.321568109769	1461.0978132610628	1836.191689375742	2172.625158232846	2684.9580578399236	1052.5853434136275	3062.497846790944	1220.7170974999062	1781.664124682108	1703.1043931081977	3642.5622322973413	1821.2607206057594	3395.6613361008663	1649.3768035767346	752.9534700363084	2234.532477011439	1049.286626583124	2410.873075904521	2744.5771135201135	1804.365613284969	2266.397867739157	4146.531466190652	3411.206277800099	-141.1536824328714	1341.3746165244718	1196.2354970018946
TumorPurity	0.8271981368601192	0.22320107271389072	0.603682182237918	0.6826163562075103	0.6413660936637947	0.6027100197556718	0.5410527677281587	0.7251841539830745	0.4936396937760322	0.7079716454638033	0.6474864434935445	0.6562312085482089	0.41789152866652624	0.6430460954864173	0.45053581776992063	0.6621616407542994	0.7547574419037977	0.5954339486020258	0.7255174764738272	0.5744408834117273	0.5336723269790341	0.6449433725900717	0.5916695495274783	0.34960213260883255	0.4484975353440908	0.8341163600348459	0.6953529431158056	0.7105050263255503
